,Predictions
2024-03-10,1515.7999877929688
2024-03-11,2264.713408203125
2024-03-12,848.0419921875
2024-03-13,987.0194899291993
2024-03-14,2122.82607421875
2024-03-15,2965.592208984375
2024-03-16,1313.093994140625
2024-03-17,2167.003189453125
2024-03-18,3191.359455078125
2024-03-19,2131.92391015625
2024-03-20,3379.98458984375
2024-03-21,1239.44184375
2024-03-22,1100.9599609375
2024-03-23,4279.546147460937
2024-03-24,1022.875
2024-03-25,1435.1718721923828
2024-03-26,1147.6199951171875
2024-03-27,1106.5777723524332
2024-03-28,4694.09184765625
2024-03-29,1439.193359375
2024-03-30,2003.68994140625
2024-03-31,2593.1773828125
2024-04-01,3401.3699951171875
2024-04-02,2415.367677734375
2024-04-03,1027.5408779296874
2024-04-04,1930.9325395507813
2024-04-05,1968.8900146484373
2024-04-06,1452.3233642578125
2024-04-07,3037.1633203125
2024-04-08,1486.713684326172
2024-04-09,1067.8966634114536
2024-04-10,1188.012422607422
2024-04-11,1162.8400268554688
2024-04-12,4371.726310546875
2024-04-13,3533.0731689453123
2024-04-14,1332.4200032552105
2024-04-15,1187.43994140625
2024-04-16,1973.8458227539063
2024-04-17,1507.6279785156164
2024-04-18,988.9266764322987
2024-04-19,1495.7919921875
2024-04-20,1131.7966715494833
2024-04-21,1278.427490234375
2024-04-22,904.3450012207031
2024-04-23,1415.9725036621094
2024-04-24,1051.0549926757812
2024-04-25,2628.548791015625
2024-04-26,1144.83251953125
2024-04-27,934.6097917480469
2024-04-28,1888.530029296875
2024-04-29,2474.02001953125
2024-04-30,2914.778164550781
2024-05-01,1433.3349914550781
2024-05-02,1122.3228410993365
2024-05-03,1092.8340087890524
2024-05-04,1116.5599975585938
2024-05-05,4447.805875
2024-05-06,1058.3074951171875
2024-05-07,1132.9649658203125
2024-05-08,1218.7749938964844
2024-05-09,1883.9827145996094
2024-05-10,1334.1649780273438
2024-05-11,1263.35498046875
2024-05-12,918.0777100585965
2024-05-13,1308.4204938151036
2024-05-14,1177.6166585286433
2024-05-15,2872.745751953125
2024-05-16,2169.310880859375
2024-05-17,2270.9415400390626
2024-05-18,1130.1394891764367
2024-05-19,2137.911912109375
2024-05-20,1289.2183430989592
2024-05-21,1447.02527734375
2024-05-22,3192.059890136719
2024-05-23,1421.0899658203125
2024-05-24,2700.5786137695313
2024-05-25,1379.95600585938
2024-05-26,1268.1166788736975
2024-05-27,1130.4266764322958
2024-05-28,2000.2916870117188
2024-05-29,1480.9340087890548
2024-05-30,4482.808185058594
2024-05-31,1360.4750366210938
2024-06-01,2771.1898291015623
2024-06-02,1089.2574768066406
2024-06-03,1340.666707356773
2024-06-04,4121.683395507813
2024-06-05,1254.3199951171866
2024-06-06,2863.544921875
2024-06-07,1342.7528599330342
2024-06-08,3257.9589067382813
2024-06-09,3335.389976074219
2024-06-10,1395.780029296875
2024-06-11,1109.1780029296772
2024-06-12,1336.516642252602
2024-06-13,1412.0119873046744
2024-06-14,2241.8260546875
2024-06-15,3219.6888266601563
